Time,1,2,3,4
2021-05-15 18:46:19,0.0,0.0,0.0,100.0
2021-05-15 18:46:24,5.8,0.2,37.8,1.8
2021-05-15 18:46:29,6.3,15.4,57.6,7.0
2021-05-15 18:46:34,10.9,2.4,91.1,1.0
2021-05-15 18:46:39,11.6,0.4,50.1,42.7
2021-05-15 18:46:44,1.2,0.0,63.8,41.1
2021-05-15 18:46:49,1.6,91.5,2.8,10.0
2021-05-15 18:46:54,1.2,98.8,2.6,1.8
2021-05-15 18:46:59,1.4,98.4,3.4,0.8
2021-05-15 18:47:04,1.8,99.6,2.8,1.8
2021-05-15 18:47:09,1.8,98.6,3.2,1.2
2021-05-15 18:47:14,3.8,98.2,3.4,2.0
2021-05-15 18:47:19,2.0,98.4,3.6,1.8
2021-05-15 18:47:24,2.8,98.2,3.6,3.8
2021-05-15 18:47:29,16.8,62.8,14.4,13.5
2021-05-15 18:47:34,80.8,3.6,9.8,9.4
2021-05-15 18:47:39,99.2,2.8,2.2,0.6
2021-05-15 18:47:44,99.2,2.6,2.2,2.0
2021-05-15 18:47:49,96.4,1.2,3.0,4.5
2021-05-15 18:47:54,72.1,8.6,18.5,9.3
2021-05-15 18:47:59,65.0,20.9,3.2,17.3
2021-05-15 18:48:04,1.6,1.0,33.4,68.4
2021-05-15 18:48:09,10.8,0.4,3.9,89.5
2021-05-15 18:48:14,3.8,2.2,33.7,67.5
2021-05-15 18:48:19,3.2,1.6,3.2,98.2
2021-05-15 18:48:24,46.2,4.8,3.6,54.4
2021-05-15 18:48:29,98.2,1.0,2.6,1.6
2021-05-15 18:48:34,89.0,2.2,13.1,2.8
2021-05-15 18:48:39,0.4,55.8,31.9,15.0
2021-05-15 18:48:44,2.6,28.0,1.2,74.2
2021-05-15 18:48:49,61.2,40.1,2.0,2.4
2021-05-15 18:48:54,98.6,2.2,3.0,1.6
2021-05-15 18:48:59,99.2,2.8,3.4,0.2
2021-05-15 18:49:04,95.0,5.4,2.4,2.0
2021-05-15 18:49:09,73.3,9.3,13.3,9.9
2021-05-15 18:49:14,13.0,35.1,1.8,57.4
2021-05-15 18:49:19,1.6,72.7,27.0,1.4
2021-05-15 18:49:24,0.2,93.8,1.0,5.5
2021-05-15 18:49:29,68.8,2.0,3.2,31.5
2021-05-15 18:49:34,99.2,1.4,1.8,2.4
2021-05-15 18:49:39,58.1,20.0,8.2,20.5
2021-05-15 18:49:44,51.2,8.0,10.8,39.7
2021-05-15 18:49:50,24.6,4.9,72.1,0.8
2021-05-15 18:49:55,31.3,7.3,48.8,17.9
2021-05-15 18:50:00,99.2,2.2,3.0,0.2
2021-05-15 18:50:05,99.2,3.2,3.4,0.2
2021-05-15 18:50:10,98.4,2.8,2.9,0.0
2021-05-15 18:50:15,70.0,5.9,17.3,14.0
2021-05-15 18:50:20,49.9,35.0,10.3,13.3
2021-05-15 18:50:25,1.0,64.1,36.8,1.0
2021-05-15 18:50:30,0.0,99.6,0.0,1.0
2021-05-15 18:50:35,0.6,58.9,41.3,1.4
2021-05-15 18:50:40,1.2,1.6,99.2,2.8
2021-05-15 18:50:45,23.3,47.9,20.5,16.2
2021-05-15 18:50:50,3.2,98.8,2.8,1.2
2021-05-15 18:50:55,2.0,99.2,1.6,0.4
2021-05-15 18:51:00,3.4,99.4,2.6,1.0
2021-05-15 18:51:05,2.8,98.6,3.2,1.2
2021-05-15 18:51:10,1.4,99.2,2.2,2.0
2021-05-15 18:51:15,49.3,34.6,8.0,16.3
2021-05-15 18:51:20,2.4,3.0,1.6,96.8
2021-05-15 18:51:25,3.0,42.3,2.6,58.7
